date,areaType,areaName,areaCode,hospitalCases
2021-07-23,nation,Scotland,S92000003,502
2021-07-22,nation,Scotland,S92000003,488
2021-07-21,nation,Scotland,S92000003,529
2021-07-20,nation,Scotland,S92000003,529
2021-07-19,nation,Scotland,S92000003,536
2021-07-18,nation,Scotland,S92000003,514
2021-07-17,nation,Scotland,S92000003,517
2021-07-16,nation,Scotland,S92000003,532
2021-07-15,nation,Scotland,S92000003,543
2021-07-14,nation,Scotland,S92000003,515
2021-07-13,nation,Scotland,S92000003,506
2021-07-12,nation,Scotland,S92000003,469
2021-07-11,nation,Scotland,S92000003,445
2021-07-10,nation,Scotland,S92000003,436
2021-07-09,nation,Scotland,S92000003,427
2021-07-08,nation,Scotland,S92000003,401
2021-07-07,nation,Scotland,S92000003,387
2021-07-06,nation,Scotland,S92000003,346
2021-07-05,nation,Scotland,S92000003,338
2021-07-04,nation,Scotland,S92000003,316
2021-07-03,nation,Scotland,S92000003,306
2021-07-02,nation,Scotland,S92000003,285
2021-07-01,nation,Scotland,S92000003,275
2021-06-30,nation,Scotland,S92000003,235
2021-06-29,nation,Scotland,S92000003,215
2021-06-28,nation,Scotland,S92000003,202
2021-06-27,nation,Scotland,S92000003,196
2021-06-26,nation,Scotland,S92000003,197
2021-06-25,nation,Scotland,S92000003,188
2021-06-24,nation,Scotland,S92000003,177
2021-06-23,nation,Scotland,S92000003,170
2021-06-22,nation,Scotland,S92000003,171
2021-06-21,nation,Scotland,S92000003,159
2021-06-20,nation,Scotland,S92000003,150
2021-06-19,nation,Scotland,S92000003,145
2021-06-18,nation,Scotland,S92000003,128
2021-06-17,nation,Scotland,S92000003,140
2021-06-16,nation,Scotland,S92000003,133
2021-06-15,nation,Scotland,S92000003,137
2021-06-14,nation,Scotland,S92000003,128
2021-06-13,nation,Scotland,S92000003,130
2021-06-12,nation,Scotland,S92000003,129
2021-06-11,nation,Scotland,S92000003,132
2021-06-10,nation,Scotland,S92000003,124
2021-06-09,nation,Scotland,S92000003,124
2021-06-08,nation,Scotland,S92000003,121
2021-06-07,nation,Scotland,S92000003,122
2021-06-06,nation,Scotland,S92000003,112
2021-06-05,nation,Scotland,S92000003,111
2021-06-04,nation,Scotland,S92000003,116
2021-06-03,nation,Scotland,S92000003,110
2021-06-02,nation,Scotland,S92000003,114
2021-06-01,nation,Scotland,S92000003,106
2021-05-31,nation,Scotland,S92000003,109
2021-05-30,nation,Scotland,S92000003,101
2021-05-29,nation,Scotland,S92000003,86
2021-05-28,nation,Scotland,S92000003,90
2021-05-27,nation,Scotland,S92000003,83
2021-05-26,nation,Scotland,S92000003,98
2021-05-25,nation,Scotland,S92000003,97
2021-05-24,nation,Scotland,S92000003,94
2021-05-23,nation,Scotland,S92000003,99
2021-05-22,nation,Scotland,S92000003,88
2021-05-21,nation,Scotland,S92000003,81
2021-05-20,nation,Scotland,S92000003,83
2021-05-19,nation,Scotland,S92000003,78
2021-05-18,nation,Scotland,S92000003,70
2021-05-17,nation,Scotland,S92000003,68
2021-05-16,nation,Scotland,S92000003,61
2021-05-15,nation,Scotland,S92000003,69
2021-05-14,nation,Scotland,S92000003,64
2021-05-13,nation,Scotland,S92000003,63
2021-05-12,nation,Scotland,S92000003,65
2021-05-11,nation,Scotland,S92000003,69
2021-05-10,nation,Scotland,S92000003,72
2021-05-09,nation,Scotland,S92000003,65
2021-05-08,nation,Scotland,S92000003,64
2021-05-07,nation,Scotland,S92000003,68
2021-05-06,nation,Scotland,S92000003,58
2021-05-05,nation,Scotland,S92000003,69
2021-05-04,nation,Scotland,S92000003,58
2021-05-03,nation,Scotland,S92000003,65
2021-05-02,nation,Scotland,S92000003,68
2021-05-01,nation,Scotland,S92000003,65
2021-04-30,nation,Scotland,S92000003,67
2021-04-29,nation,Scotland,S92000003,70
2021-04-28,nation,Scotland,S92000003,75
2021-04-27,nation,Scotland,S92000003,81
2021-04-26,nation,Scotland,S92000003,93
2021-04-25,nation,Scotland,S92000003,89
2021-04-24,nation,Scotland,S92000003,94
2021-04-23,nation,Scotland,S92000003,93
2021-04-22,nation,Scotland,S92000003,93
2021-04-21,nation,Scotland,S92000003,107
2021-04-20,nation,Scotland,S92000003,106
2021-04-19,nation,Scotland,S92000003,104
2021-04-18,nation,Scotland,S92000003,104
2021-04-17,nation,Scotland,S92000003,105
2021-04-16,nation,Scotland,S92000003,109
2021-04-15,nation,Scotland,S92000003,115
2021-04-14,nation,Scotland,S92000003,119
2021-04-13,nation,Scotland,S92000003,133
2021-04-12,nation,Scotland,S92000003,154
2021-04-11,nation,Scotland,S92000003,149
2021-04-10,nation,Scotland,S92000003,160
2021-04-09,nation,Scotland,S92000003,167
2021-04-08,nation,Scotland,S92000003,174
2021-04-07,nation,Scotland,S92000003,192
2021-04-06,nation,Scotland,S92000003,196
2021-04-05,nation,Scotland,S92000003,202
2021-04-04,nation,Scotland,S92000003,193
2021-04-03,nation,Scotland,S92000003,201
2021-04-02,nation,Scotland,S92000003,207
2021-04-01,nation,Scotland,S92000003,215
2021-03-31,nation,Scotland,S92000003,237
2021-03-30,nation,Scotland,S92000003,250
2021-03-29,nation,Scotland,S92000003,259
2021-03-28,nation,Scotland,S92000003,264
2021-03-27,nation,Scotland,S92000003,283
2021-03-26,nation,Scotland,S92000003,296
2021-03-25,nation,Scotland,S92000003,310
2021-03-24,nation,Scotland,S92000003,321
2021-03-23,nation,Scotland,S92000003,341
2021-03-22,nation,Scotland,S92000003,353
2021-03-21,nation,Scotland,S92000003,344
2021-03-20,nation,Scotland,S92000003,367
2021-03-19,nation,Scotland,S92000003,397
2021-03-18,nation,Scotland,S92000003,405
2021-03-17,nation,Scotland,S92000003,422
2021-03-16,nation,Scotland,S92000003,440
2021-03-15,nation,Scotland,S92000003,447
2021-03-14,nation,Scotland,S92000003,461
2021-03-13,nation,Scotland,S92000003,479
2021-03-12,nation,Scotland,S92000003,512
2021-03-11,nation,Scotland,S92000003,525
2021-03-10,nation,Scotland,S92000003,582
2021-03-09,nation,Scotland,S92000003,614
2021-03-08,nation,Scotland,S92000003,654
2021-03-07,nation,Scotland,S92000003,628
2021-03-06,nation,Scotland,S92000003,639
2021-03-05,nation,Scotland,S92000003,666
2021-03-04,nation,Scotland,S92000003,718
2021-03-03,nation,Scotland,S92000003,750
2021-03-02,nation,Scotland,S92000003,784
2021-03-01,nation,Scotland,S92000003,824
2021-02-28,nation,Scotland,S92000003,837
2021-02-27,nation,Scotland,S92000003,898
2021-02-26,nation,Scotland,S92000003,924
2021-02-25,nation,Scotland,S92000003,967
2021-02-24,nation,Scotland,S92000003,1018
2021-02-23,nation,Scotland,S92000003,1076
2021-02-22,nation,Scotland,S92000003,1141
2021-02-21,nation,Scotland,S92000003,1132
2021-02-20,nation,Scotland,S92000003,1154
2021-02-19,nation,Scotland,S92000003,1222
2021-02-18,nation,Scotland,S92000003,1261
2021-02-17,nation,Scotland,S92000003,1317
2021-02-16,nation,Scotland,S92000003,1383
2021-02-15,nation,Scotland,S92000003,1428
2021-02-14,nation,Scotland,S92000003,1443
2021-02-13,nation,Scotland,S92000003,1449
2021-02-12,nation,Scotland,S92000003,1472
2021-02-11,nation,Scotland,S92000003,1499
2021-02-10,nation,Scotland,S92000003,1542
2021-02-09,nation,Scotland,S92000003,1618
2021-02-08,nation,Scotland,S92000003,1672
2021-02-07,nation,Scotland,S92000003,1710
2021-02-06,nation,Scotland,S92000003,1729
2021-02-05,nation,Scotland,S92000003,1794
2021-02-04,nation,Scotland,S92000003,1812
2021-02-03,nation,Scotland,S92000003,1865
2021-02-02,nation,Scotland,S92000003,1934
2021-02-01,nation,Scotland,S92000003,1958
2021-01-31,nation,Scotland,S92000003,1941
2021-01-30,nation,Scotland,S92000003,1952
2021-01-29,nation,Scotland,S92000003,1958
2021-01-28,nation,Scotland,S92000003,1983
2021-01-27,nation,Scotland,S92000003,2016
2021-01-26,nation,Scotland,S92000003,2010
2021-01-25,nation,Scotland,S92000003,2016
2021-01-24,nation,Scotland,S92000003,2010
2021-01-23,nation,Scotland,S92000003,2026
2021-01-22,nation,Scotland,S92000003,2053
2021-01-21,nation,Scotland,S92000003,2004
2021-01-20,nation,Scotland,S92000003,2003
2021-01-19,nation,Scotland,S92000003,1989
2021-01-18,nation,Scotland,S92000003,1959
2021-01-17,nation,Scotland,S92000003,1918
2021-01-16,nation,Scotland,S92000003,1893
2021-01-15,nation,Scotland,S92000003,1881
2021-01-14,nation,Scotland,S92000003,1840
2021-01-13,nation,Scotland,S92000003,1794
2021-01-12,nation,Scotland,S92000003,1717
2021-01-11,nation,Scotland,S92000003,1664
2021-01-10,nation,Scotland,S92000003,1598
2021-01-09,nation,Scotland,S92000003,1596
2021-01-08,nation,Scotland,S92000003,1530
2021-01-07,nation,Scotland,S92000003,1467
2021-01-06,nation,Scotland,S92000003,1384
2021-01-05,nation,Scotland,S92000003,1347
2021-01-04,nation,Scotland,S92000003,1282
2021-01-03,nation,Scotland,S92000003,1246
2021-01-02,nation,Scotland,S92000003,1212
2021-01-01,nation,Scotland,S92000003,1189
2020-12-31,nation,Scotland,S92000003,1174
2020-12-30,nation,Scotland,S92000003,1133
2020-12-29,nation,Scotland,S92000003,1092
2020-12-28,nation,Scotland,S92000003,1040
2020-12-27,nation,Scotland,S92000003,993
2020-12-26,nation,Scotland,S92000003,985
2020-12-25,nation,Scotland,S92000003,973
2020-12-24,nation,Scotland,S92000003,1008
2020-12-23,nation,Scotland,S92000003,1025
2020-12-22,nation,Scotland,S92000003,1045
2020-12-21,nation,Scotland,S92000003,1078
2020-12-20,nation,Scotland,S92000003,1061
2020-12-19,nation,Scotland,S92000003,1033
2020-12-18,nation,Scotland,S92000003,1032
2020-12-17,nation,Scotland,S92000003,1012
2020-12-16,nation,Scotland,S92000003,1031
2020-12-15,nation,Scotland,S92000003,996
2020-12-14,nation,Scotland,S92000003,1012
2020-12-13,nation,Scotland,S92000003,1015
2020-12-12,nation,Scotland,S92000003,994
2020-12-11,nation,Scotland,S92000003,999
2020-12-10,nation,Scotland,S92000003,984
2020-12-09,nation,Scotland,S92000003,972
2020-12-08,nation,Scotland,S92000003,983
2020-12-07,nation,Scotland,S92000003,974
2020-12-06,nation,Scotland,S92000003,951
2020-12-05,nation,Scotland,S92000003,945
2020-12-04,nation,Scotland,S92000003,965
2020-12-03,nation,Scotland,S92000003,982
2020-12-02,nation,Scotland,S92000003,991
2020-12-01,nation,Scotland,S92000003,1021
2020-11-30,nation,Scotland,S92000003,1041
2020-11-29,nation,Scotland,S92000003,1049
2020-11-28,nation,Scotland,S92000003,1074
2020-11-27,nation,Scotland,S92000003,1099
2020-11-26,nation,Scotland,S92000003,1125
2020-11-25,nation,Scotland,S92000003,1156
2020-11-24,nation,Scotland,S92000003,1197
2020-11-23,nation,Scotland,S92000003,1208
2020-11-22,nation,Scotland,S92000003,1170
2020-11-21,nation,Scotland,S92000003,1194
2020-11-20,nation,Scotland,S92000003,1234
2020-11-19,nation,Scotland,S92000003,1212
2020-11-18,nation,Scotland,S92000003,1241
2020-11-17,nation,Scotland,S92000003,1250
2020-11-16,nation,Scotland,S92000003,1227
2020-11-15,nation,Scotland,S92000003,1241
2020-11-14,nation,Scotland,S92000003,1198
2020-11-13,nation,Scotland,S92000003,1228
2020-11-12,nation,Scotland,S92000003,1207
2020-11-11,nation,Scotland,S92000003,1235
2020-11-10,nation,Scotland,S92000003,1239
2020-11-09,nation,Scotland,S92000003,1227
2020-11-08,nation,Scotland,S92000003,1245
2020-11-07,nation,Scotland,S92000003,1245
2020-11-06,nation,Scotland,S92000003,1237
2020-11-05,nation,Scotland,S92000003,1252
2020-11-04,nation,Scotland,S92000003,1257
2020-11-03,nation,Scotland,S92000003,1264
2020-11-02,nation,Scotland,S92000003,1235
2020-11-01,nation,Scotland,S92000003,1203
2020-10-31,nation,Scotland,S92000003,1154
2020-10-30,nation,Scotland,S92000003,1171
2020-10-29,nation,Scotland,S92000003,1152
2020-10-28,nation,Scotland,S92000003,1117
2020-10-27,nation,Scotland,S92000003,1100
2020-10-26,nation,Scotland,S92000003,1052
2020-10-25,nation,Scotland,S92000003,1016
2020-10-24,nation,Scotland,S92000003,985
2020-10-23,nation,Scotland,S92000003,975
2020-10-22,nation,Scotland,S92000003,934
2020-10-21,nation,Scotland,S92000003,873
2020-10-20,nation,Scotland,S92000003,824
2020-10-19,nation,Scotland,S92000003,755
2020-10-18,nation,Scotland,S92000003,712
2020-10-17,nation,Scotland,S92000003,672
2020-10-16,nation,Scotland,S92000003,627
2020-10-15,nation,Scotland,S92000003,601
2020-10-14,nation,Scotland,S92000003,570
2020-10-13,nation,Scotland,S92000003,527
2020-10-12,nation,Scotland,S92000003,487
2020-10-11,nation,Scotland,S92000003,449
2020-10-10,nation,Scotland,S92000003,432
2020-10-09,nation,Scotland,S92000003,397
2020-10-08,nation,Scotland,S92000003,377
2020-10-07,nation,Scotland,S92000003,319
2020-10-06,nation,Scotland,S92000003,262
2020-10-05,nation,Scotland,S92000003,218
2020-10-04,nation,Scotland,S92000003,210
2020-10-03,nation,Scotland,S92000003,191
2020-10-02,nation,Scotland,S92000003,175
2020-10-01,nation,Scotland,S92000003,154
2020-09-30,nation,Scotland,S92000003,137
2020-09-29,nation,Scotland,S92000003,123
2020-09-28,nation,Scotland,S92000003,122
2020-09-27,nation,Scotland,S92000003,105
2020-09-26,nation,Scotland,S92000003,99
2020-09-25,nation,Scotland,S92000003,89
2020-09-24,nation,Scotland,S92000003,85
2020-09-23,nation,Scotland,S92000003,83
2020-09-22,nation,Scotland,S92000003,73
2020-09-21,nation,Scotland,S92000003,73
2020-09-20,nation,Scotland,S92000003,63
2020-09-19,nation,Scotland,S92000003,64
2020-09-18,nation,Scotland,S92000003,61
2020-09-17,nation,Scotland,S92000003,52
2020-09-16,nation,Scotland,S92000003,51
2020-09-15,nation,Scotland,S92000003,48
2020-09-14,nation,Scotland,S92000003,51
2020-09-13,nation,Scotland,S92000003,45
2020-09-12,nation,Scotland,S92000003,42
2020-09-11,nation,Scotland,S92000003,45
2020-09-10,nation,Scotland,S92000003,266
2020-09-09,nation,Scotland,S92000003,274
2020-09-08,nation,Scotland,S92000003,267
2020-09-07,nation,Scotland,S92000003,256
2020-09-06,nation,Scotland,S92000003,244
2020-09-05,nation,Scotland,S92000003,251
2020-09-04,nation,Scotland,S92000003,258
2020-09-03,nation,Scotland,S92000003,259
2020-09-02,nation,Scotland,S92000003,258
2020-09-01,nation,Scotland,S92000003,264
2020-08-31,nation,Scotland,S92000003,258
2020-08-30,nation,Scotland,S92000003,251
2020-08-29,nation,Scotland,S92000003,258
2020-08-28,nation,Scotland,S92000003,255
2020-08-27,nation,Scotland,S92000003,257
2020-08-26,nation,Scotland,S92000003,249
2020-08-25,nation,Scotland,S92000003,243
2020-08-24,nation,Scotland,S92000003,248
2020-08-23,nation,Scotland,S92000003,245
2020-08-22,nation,Scotland,S92000003,246
2020-08-21,nation,Scotland,S92000003,253
2020-08-20,nation,Scotland,S92000003,248
2020-08-19,nation,Scotland,S92000003,247
2020-08-18,nation,Scotland,S92000003,254
2020-08-17,nation,Scotland,S92000003,248
2020-08-16,nation,Scotland,S92000003,243
2020-08-15,nation,Scotland,S92000003,244
2020-08-14,nation,Scotland,S92000003,253
2020-08-13,nation,Scotland,S92000003,258
2020-08-12,nation,Scotland,S92000003,265
2020-08-11,nation,Scotland,S92000003,269
2020-08-10,nation,Scotland,S92000003,267
2020-08-09,nation,Scotland,S92000003,261
2020-08-08,nation,Scotland,S92000003,261
2020-08-07,nation,Scotland,S92000003,262
2020-08-06,nation,Scotland,S92000003,270
2020-08-05,nation,Scotland,S92000003,267
2020-08-04,nation,Scotland,S92000003,270
2020-08-03,nation,Scotland,S92000003,265
2020-08-02,nation,Scotland,S92000003,265
2020-08-01,nation,Scotland,S92000003,260
2020-07-31,nation,Scotland,S92000003,255
2020-07-30,nation,Scotland,S92000003,260
2020-07-29,nation,Scotland,S92000003,260
2020-07-28,nation,Scotland,S92000003,264
2020-07-27,nation,Scotland,S92000003,270
2020-07-26,nation,Scotland,S92000003,267
2020-07-25,nation,Scotland,S92000003,270
2020-07-24,nation,Scotland,S92000003,278
2020-07-23,nation,Scotland,S92000003,287
2020-07-22,nation,Scotland,S92000003,295
2020-07-21,nation,Scotland,S92000003,303
2020-07-20,nation,Scotland,S92000003,299
2020-07-19,nation,Scotland,S92000003,302
2020-07-18,nation,Scotland,S92000003,305
2020-07-17,nation,Scotland,S92000003,316
2020-07-16,nation,Scotland,S92000003,320
2020-07-15,nation,Scotland,S92000003,329
2020-07-14,nation,Scotland,S92000003,327
2020-07-13,nation,Scotland,S92000003,335
2020-07-12,nation,Scotland,S92000003,330
2020-07-11,nation,Scotland,S92000003,323
2020-07-10,nation,Scotland,S92000003,337
2020-07-09,nation,Scotland,S92000003,342
2020-07-08,nation,Scotland,S92000003,358
2020-07-07,nation,Scotland,S92000003,376
2020-07-06,nation,Scotland,S92000003,384
2020-07-05,nation,Scotland,S92000003,424
2020-07-04,nation,Scotland,S92000003,430
2020-07-03,nation,Scotland,S92000003,422
2020-07-02,nation,Scotland,S92000003,432
2020-07-01,nation,Scotland,S92000003,439
2020-06-30,nation,Scotland,S92000003,450
2020-06-29,nation,Scotland,S92000003,453
2020-06-28,nation,Scotland,S92000003,453
2020-06-27,nation,Scotland,S92000003,456
2020-06-26,nation,Scotland,S92000003,467
2020-06-25,nation,Scotland,S92000003,472
2020-06-24,nation,Scotland,S92000003,489
2020-06-23,nation,Scotland,S92000003,512
2020-06-22,nation,Scotland,S92000003,515
2020-06-21,nation,Scotland,S92000003,518
2020-06-20,nation,Scotland,S92000003,511
2020-06-19,nation,Scotland,S92000003,518
2020-06-18,nation,Scotland,S92000003,544
2020-06-17,nation,Scotland,S92000003,552
2020-06-16,nation,Scotland,S92000003,567
2020-06-15,nation,Scotland,S92000003,578
2020-06-14,nation,Scotland,S92000003,575
2020-06-13,nation,Scotland,S92000003,582
2020-06-12,nation,Scotland,S92000003,590
2020-06-11,nation,Scotland,S92000003,610
2020-06-10,nation,Scotland,S92000003,628
2020-06-09,nation,Scotland,S92000003,647
2020-06-08,nation,Scotland,S92000003,660
2020-06-07,nation,Scotland,S92000003,652
2020-06-06,nation,Scotland,S92000003,652
2020-06-05,nation,Scotland,S92000003,682
2020-06-04,nation,Scotland,S92000003,691
2020-06-03,nation,Scotland,S92000003,708
2020-06-02,nation,Scotland,S92000003,714
2020-06-01,nation,Scotland,S92000003,736
2020-05-31,nation,Scotland,S92000003,733
2020-05-30,nation,Scotland,S92000003,736
2020-05-29,nation,Scotland,S92000003,769
2020-05-28,nation,Scotland,S92000003,797
2020-05-27,nation,Scotland,S92000003,810
2020-05-26,nation,Scotland,S92000003,833
2020-05-25,nation,Scotland,S92000003,849
2020-05-24,nation,Scotland,S92000003,845
2020-05-23,nation,Scotland,S92000003,841
2020-05-22,nation,Scotland,S92000003,874
2020-05-21,nation,Scotland,S92000003,909
2020-05-20,nation,Scotland,S92000003,943
2020-05-19,nation,Scotland,S92000003,969
2020-05-18,nation,Scotland,S92000003,1005
2020-05-17,nation,Scotland,S92000003,1007
2020-05-16,nation,Scotland,S92000003,1011
2020-05-15,nation,Scotland,S92000003,1066
2020-05-14,nation,Scotland,S92000003,1100
2020-05-13,nation,Scotland,S92000003,1101
2020-05-12,nation,Scotland,S92000003,1131
2020-05-11,nation,Scotland,S92000003,1145
2020-05-10,nation,Scotland,S92000003,1132
2020-05-09,nation,Scotland,S92000003,1159
2020-05-08,nation,Scotland,S92000003,1168
2020-05-07,nation,Scotland,S92000003,1199
2020-05-06,nation,Scotland,S92000003,1204
2020-05-05,nation,Scotland,S92000003,1225
2020-05-04,nation,Scotland,S92000003,1279
2020-05-03,nation,Scotland,S92000003,1266
2020-05-02,nation,Scotland,S92000003,1277
2020-05-01,nation,Scotland,S92000003,1302
2020-04-30,nation,Scotland,S92000003,1324
2020-04-29,nation,Scotland,S92000003,1363
2020-04-28,nation,Scotland,S92000003,1359
2020-04-27,nation,Scotland,S92000003,1387
2020-04-26,nation,Scotland,S92000003,1382
2020-04-25,nation,Scotland,S92000003,1385
2020-04-24,nation,Scotland,S92000003,1383
2020-04-23,nation,Scotland,S92000003,1423
2020-04-22,nation,Scotland,S92000003,1432
2020-04-21,nation,Scotland,S92000003,1472
2020-04-20,nation,Scotland,S92000003,1520
2020-04-19,nation,Scotland,S92000003,1520
2020-04-18,nation,Scotland,S92000003,1501
2020-04-17,nation,Scotland,S92000003,1487
2020-04-16,nation,Scotland,S92000003,1479
2020-04-15,nation,Scotland,S92000003,1486
2020-04-14,nation,Scotland,S92000003,1514
2020-04-13,nation,Scotland,S92000003,1482
2020-04-12,nation,Scotland,S92000003,1487
2020-04-11,nation,Scotland,S92000003,1467
2020-04-10,nation,Scotland,S92000003,1461
2020-04-09,nation,Scotland,S92000003,1440
2020-04-08,nation,Scotland,S92000003,1415
2020-04-07,nation,Scotland,S92000003,1328
2020-04-06,nation,Scotland,S92000003,1262
2020-04-05,nation,Scotland,S92000003,1204
2020-04-04,nation,Scotland,S92000003,1107
2020-04-03,nation,Scotland,S92000003,1037
2020-04-02,nation,Scotland,S92000003,910
2020-04-01,nation,Scotland,S92000003,815
2020-03-31,nation,Scotland,S92000003,752
2020-03-30,nation,Scotland,S92000003,627
2020-03-29,nation,Scotland,S92000003,565
2020-03-28,nation,Scotland,S92000003,511
